Leahy,Patrick,1940-03-31,M,VT,Democrat,https://www.leahy.senate.gov,SenatorLeahy,SenatorPatrickLeahy,UC46QHVobf7FO-tWehsRoDog
Lee,Mike,1971-06-04,M,UT,Republican,https://www.lee.senate.gov/public,SenMikeLee,senatormikelee,UCplVxs_j_sLAt0fkplXcl4A
Markey,Edward,1946-07-11,M,MA,Democrat,https://www.markey.senate.gov,SenMarkey,EdJMarkey,UCT1ujew5yQy2uMhGrjiKHoA
Moran,Jerry,1954-05-29,M,KS,Republican,https://www.moran.senate.gov,JerryMoran,jerrymoran,UC1oRxeUPam6-53wPBZ3N02A
Murkowski,Lisa,1957-05-22,F,AK,Republican,https://www.murkowski.senate.gov,LisaMurkowski,SenLisaMurkowski,UCaigku16AErqvD0wRuwGb9A
Murphy,Christopher,1973-08-03,M,CT,Democrat,https://www.murphy.senate.gov,senmurphyoffice,chrismurphyct,UCbcEa40PIFpLpdDe06n3F3Q
Murray,Patty,1950-10-11,F,WA,Democrat,https://www.murray.senate.gov/public,PattyMurray,,UCb8jq3TvQ3AzKsexhWfFLoA
Paul,Rand,1963-01-07,M,KY,Republican,https://www.paul.senate.gov,RandPaul,SenatorRandPaul,UCeM9I-20oWUs8daIIpsNHoQ
Peters,Gary,1958-12-01,M,MI,Democrat,https://www.peters.senate.gov,SenGaryPeters,SenGaryPeters,UC7LYNbnKSK2VZqQ98YROWHQ
Portman,Robert,1955-12-19,M,OH,Republican,https://www.portman.senate.gov,SenRobPortman,senrobportman,UCwunkd8Zs-yAWKQwnwBp7ew
Rubio,Marco,1971-05-28,M,FL,Republican,https://www.rubio.senate.gov,SenRubioPress,SenatorMarcoRubio,UCh8t7sV_DBKz4A-RkL9feyg
Schumer,Charles,1950-11-23,M,NY,Democrat,https://www.schumer.senate.gov,SenSchumer,senschumer,UC-ABttxh8uQv_10qmwGaidw
Scott,Tim,1965-09-19,M,SC,Republican,https://www.scott.senate.gov,SenatorTimScott,SenatorTimScott,UCSfAsbG80CNInSKrtpKoL-w
Shelby,Richard,1934-05-06,M,AL,Republican,https://www.shelby.senate.gov,SenShelby,RichardShelby,UCyMzDCRZrmhr_OGDjVuAeJw
Thune,John,1961-01-07,M,SD,Republican,https://www.thune.senate.gov,SenJohnThune,,UCRu6lpRfxhkDGUrKDgQNZYQ
Toomey,Patrick,1961-11-17,M,PA,Republican,https://www.toomey.senate.gov,SenToomey,senatortoomey,UCDUM4FFU1p-_YuHqmBglyXw
Van Hollen,Chris,1959-01-10,M,MD,Democrat,https://www.vanhollen.senate.gov,ChrisVanHollen,chrisvanhollen,UCkpfJWu1N9Okd6PE_NidtBQ
Wyden,Ron,1949-05-03,M,OR,Democrat,https://www.wyden.senate.gov,RonWyden,,UCsd3UEaoLoqX60P88BdpGGw
Young,Todd,1972-08-24,M,IN,Republican,https://www.young.senate.gov,SenToddYoung,SenatorToddYoung,UCuknj4PGn91gHDNAfboZEgQ
Schatz,Brian,1972-10-20,M,HI,Democrat,https://www.schatz.senate.gov,SenBrianSchatz,SenBrianSchatz,UC8-mSYp2WqBiB_5iwtwKfow
Cotton,Tom,1977-05-13,M,AR,Republican,https://www.cotton.senate.gov,SenTomCotton,SenatorTomCotton,UCXEk6mokWBajIpNatbjnwSg
Sinema,Kyrsten,1976-07-12,F,AZ,Democrat,https://www.sinema.senate.gov,SenatorSinema,CongresswomanSinema,UC4NzhW7D4lQdukSGWmFnK9w
Duckworth,Tammy,1968-03-12,F,IL,Democrat,https://www.duckworth.senate.gov,SenDuckworth,SenDuckworth,UCYRWRvUxtjaHnFMCbdd94tg
Warren,Elizabeth,1949-06-22,F,MA,Democrat,https://www.warren.senate.gov,SenWarren,senatorelizabethwarren,UCTH9zV8Imw09J5bOoTR18_A
King,Angus,1944-03-31,M,ME,Independent,https://www.king.senate.gov,SenAngusKing,SenatorAngusSKingJr,UCpp6lGvrmt0XU_lnD4Ak0gA
Daines,Steve,1962-08-20,M,MT,Republican,https://www.daines.senate.gov,SteveDaines,SteveDainesMT,UC-ny-W5mEUGytiyMdXbQ20Q
Cramer,Kevin,1961-01-21,M,ND,Republican,https://www.cramer.senate.gov,SenKevinCramer,CongressmanKevinCramer,UCqUPdO9XaAW-dvwwXKbIVdA
Fischer,Deb,1951-03-01,F,NE,Republican,https://www.fischer.senate.gov,SenatorFischer,senatordebfischer,UCrbEfZaG_WhB0PBHI1hefPQ
Cruz,Ted,1970-12-22,M,TX,Republican,https://www.cruz.senate.gov,SenTedCruz,SenatorTedCruz,UCOTZ-6H1rri1lSsj6IzhUyw
Kaine,Timothy,1958-02-26,M,VA,Democrat,https://www.kaine.senate.gov,,SenatorKaine,UC27LgTZlUnBQoNEQFZdn9LA
Booker,Cory,1969-04-27,M,NJ,Democrat,https://www.booker.senate.gov,SenBooker,,UC6FlymqNS1VettnVZa7goPA
Sullivan,Dan,1964-11-13,M,AK,Republican,https://www.sullivan.senate.gov,SenDanSullivan,SenDanSullivan,UC7tXCm8gKlAhTFo2kuf5ylw
Perdue,David,1949-12-10,M,GA,Republican,https://www.perdue.senate.gov,sendavidperdue,SenatorDavidPerdue,UCXHsrkPP4TAm0s0qB1C31Lw
Ernst,Joni,1970-07-01,F,IA,Republican,https://www.ernst.senate.gov/public,SenJoniErnst,senjoniernst,UCLwrmtF_84FIcK3TyMs4MIw
Tillis,Thom,1960-08-30,M,NC,Republican,https://www.tillis.senate.gov,senthomtillis,SenatorThomTillis,UCUD9VGV4SSGWjGdbn37Ea2w
Rounds,Mike,1954-10-24,M,SD,Republican,https://www.rounds.senate.gov,SenatorRounds,SenatorMikeRounds,UC-pvzimyBdpdkcIfsicrfrQ
Sasse,Benjamin,1972-02-22,M,NE,Republican,https://www.sasse.senate.gov/public,SenSasse,SenatorSasse,UCYaNGwcM2Dl5yDcDqS6xV2g
Harris,Kamala,1964-10-20,F,CA,Democrat,https://www.harris.senate.gov,SenKamalaHarris,SenatorKamalaHarris,UCe1ciA1TDa5F9K6Ufr_6Fsw
Kennedy,John,1951-11-21,M,LA,Republican,https://www.kennedy.senate.gov/public,SenJohnKennedy,JohnKennedyLouisiana,
Hassan,Margaret,1958-02-27,F,NH,Democrat,https://www.hassan.senate.gov,Senatorhassan,SenatorHassan,
Cortez Masto,Catherine,1964-03-29,F,NV,Democrat,https://www.cortezmasto.senate.gov,sencortezmasto,SenatorCortezMasto,UCip_83SiKUqwnUT57VOXrCg
Rosen,Jacky,1957-08-02,F,NV,Democrat,https://www.rosen.senate.gov,SenJackyRosen,RepJackyRosen,
Jones,Doug,1954-05-04,M,AL,Democrat,https://www.jones.senate.gov,sendougjones,senatordougjones,UCL8akobkoN2lB5U3kaEjdBw
Smith,Tina,1958-03-04,F,MN,Democrat,https://www.smith.senate.gov,SenTinaSmith,USSenTinaSmith,
Hyde-Smith,Cindy,1959-05-10,F,MS,Republican,https://www.hydesmith.senate.gov,SenHydeSmith,,UCJHxkJhGST0NTlkzJHWV03Q
Scott,Rick,1952-12-01,M,FL,Republican,https://www.rickscott.senate.gov,SenRickScott,RickScottSenOffice,UC-Y9pFmW4PYGZHkC8lcqSkQ
Braun,Mike,1954-03-24,M,IN,Republican,https://www.braun.senate.gov,SenatorBraun,,
Hawley,Joshua,1979-12-31,M,MO,Republican,https://www.hawley.senate.gov,SenHawleyPress,,
Romney,Mitt,1947-03-12,M,UT,Republican,https://www.romney.senate.gov,SenatorRomney,,
