Schrader,Kurt,1951-10-19,M,OR,5,Democrat,https://schrader.house.gov,RepSchrader,repschrader,UCrWRXVaGJtcImc_kknuDsAw
Schweikert,David,1962-03-03,M,AZ,6,Republican,https://schweikert.house.gov,RepDavid,repdavidschweikert,UCVvuNVzkOUp7p_Pzkc6Zuvw
Scott,Austin,1969-12-10,M,GA,8,Republican,https://austinscott.house.gov,AustinScottGA08,RepAustinScott,UC5M7eKHKQStktMyjieiHYZQ
Scott,David,1945-06-27,M,GA,13,Democrat,https://davidscott.house.gov,RepDavidScott,113303673339,UCgf28zRkLSqAUiPuJhGdF0w
Scott,Robert,1947-04-30,M,VA,3,Democrat,https://bobbyscott.house.gov,BobbyScott,RepBobbyScott,UCdNNcpw8arCsUp55JwK_QAA
Sensenbrenner,F.,1943-06-14,M,WI,5,Republican,https://sensenbrenner.house.gov,JimPressOffice,RepSensenbrenner,UCUNfNsc2CVsqivJ2wThQF6A
Serrano,José,1943-10-24,M,NY,15,Democrat,https://serrano.house.gov,RepJoseSerrano,RepJoseSerrano,
Sewell,Terri,1965-01-01,F,AL,7,Democrat,https://sewell.house.gov,RepTerriSewell,RepSewell,UCHkEHtfrfUWOFtbUFQTQH7Q
Sherman,Brad,1954-10-24,M,CA,30,Democrat,https://sherman.house.gov,BradSherman,63158229861,UCPisrz6-SLwVy2l9Mcy8kug
Shimkus,John,1958-02-21,M,IL,15,Republican,https://shimkus.house.gov,RepShimkus,repshimkus,UCVXSvuk-csQRKBI0oPzcEnw
Simpson,Michael,1950-09-08,M,ID,2,Republican,https://simpson.house.gov,CongMikeSimpson,96007744606,UCNXe0rJJeULTAP_7oyQNw8g
Sires,Albio,1951-01-26,M,NJ,8,Democrat,https://sires.house.gov,RepSires,81058818750,UCfdEcWPNGoIxpYoTANF4PBA
Smith,Adam,1965-06-15,M,WA,9,Democrat,https://adamsmith.house.gov,RepAdamSmith,RepAdamSmith,UCcrHso483LOfC6WwDnzAh-g
Smith,Adrian,1970-12-19,M,NE,3,Republican,https://adriansmith.house.gov,RepAdrianSmith,,UCIgn2z-hwxx_aeggnyhv54Q
